                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.56997,                0.58128,                0.37412,                0.86928,                 0.9092,                0.90232,                0.93536,                 0.7917,                0.92118,                0.91315,                0.94991,                0.73927,                0.67753,                0.76028,                0.49149,                 0.9521,             0.00049487,             0.00049487,             0.00049487
                     65,                0.55806,                0.61341,                0.37279,                0.86655,                0.93774,                0.88639,                0.93591,                0.80513,                0.94082,                0.89578,                0.94158,                0.76492,                0.66278,                0.73227,                0.46549,                0.95509,             0.00049134,             0.00049134,             0.00049134
                     66,                0.53153,                0.60734,                0.34304,                0.84798,                0.90969,                0.92029,                0.94466,                0.80253,                0.92748,                0.93328,                0.95669,                0.75256,                0.63564,                0.73393,                 0.4559,                0.93835,              0.0004878,              0.0004878,              0.0004878
                     67,                0.57092,                0.67977,                0.37251,                0.87874,                0.90475,                0.88822,                0.92343,                0.78595,                0.91486,                0.89722,                0.93195,                0.72865,                0.67003,                0.77471,                0.49273,                0.96705,             0.00048427,             0.00048427,             0.00048427
                     68,                0.52351,                0.59628,                0.34337,                0.84997,                0.91403,                  0.895,                0.93626,                0.80323,                0.92479,                0.90674,                 0.9438,                0.73983,                0.64463,                0.76335,                0.47099,                0.94215,             0.00048074,             0.00048074,             0.00048074
                     69,                0.51423,                0.59031,                 0.3425,                0.84305,                0.91857,                0.90543,                0.93954,                0.80171,                0.92779,                0.90706,                0.94822,                0.75064,                0.64073,                0.76269,                0.46245,                0.93382,              0.0004772,              0.0004772,              0.0004772
                     70,                0.53352,                0.58778,                0.33963,                0.85535,                0.91983,                0.91622,                0.94954,                0.82476,                 0.9298,                0.93032,                0.95761,                 0.7666,                0.63589,                0.74208,                0.44079,                0.93396,             0.00047367,             0.00047367,             0.00047367
                     71,                0.54352,                0.62015,                0.38175,                0.84847,                0.92708,                0.90206,                0.94779,                0.80155,                0.95653,                0.89805,                0.95544,                0.76771,                0.63664,                0.72887,                0.42126,                0.94678,             0.00047013,             0.00047013,             0.00047013
                     72,                0.54077,                0.59857,                0.35969,                0.87028,                0.89721,                0.89735,                0.93372,                0.80424,                0.90817,                 0.9049,                 0.9443,                 0.7509,                0.63967,                0.76407,                0.47066,                0.93623,              0.0004666,              0.0004666,              0.0004666
                     73,                0.52874,                0.55592,                 0.3401,                0.86165,                0.92556,                0.90949,                0.94097,                0.81235,                0.93689,                0.91736,                0.94807,                0.76589,                0.62736,                0.72512,                  0.437,                0.93757,             0.00046306,             0.00046306,             0.00046306
                     74,                0.51948,                0.57404,                0.34488,                0.84718,                0.87272,                0.92026,                0.92867,                0.79645,                0.90109,                0.91484,                 0.9388,                0.75148,                0.64734,                0.76973,                0.45746,                0.94922,             0.00045953,             0.00045953,             0.00045953
